CodigoCIE,CodigoINEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,NivelEnsino,Ano2011,Ano2012,Ano2013,Ano2014,Ano2015,Ano2016,Ano2017
922626,35922626,20204,PINDAMONHANGABA,JOSE AYLTON FALCAO PROFESSOR                                ,PINDAMONHANGABA,EM,1.53,1.71,1.68,0.96,2.38,1.9,2.38
46164,35046164,20102,SANTOS,OLGA CURY                                                   ,SANTOS,EM,2.35,2.21,2.42,2.14,2.69,2.75,2.56
921048,35921048,10403,GUARULHOS NORTE,FRANCISCO MILTON DE ANDRADE                                 ,GUARULHOS,EM,0.93,1.37,1.09,1.9,2.11,2.85,2.5
926024,35926024,20207,JACAREI,DARCI LOPES PROFA                                           ,JACAREI,EM,1.54,1.6,1.51,2.07,2.39,2.45,2.62
38295,35038295,10314,SUL 2,JOSE LINS DO REGO                                           ,SAO PAULO,EM,1.36,1.61,1.71,1.63,,1.92,2.09
922031,35922031,20308,SOROCABA,BEATHRIS CAIXEIRO DEL CISTIA PROFESSORA                     ,SOROCABA,EM,1.63,1.88,1.68,2.13,,2.08,2.73
285785,35285785,10402,GUARULHOS SUL,REPUBLICA DA VENEZUELA II                                   ,GUARULHOS,EM,1.66,1.03,0.86,0.87,0.95,0.59,1.27
46760,35046760,20102,SANTOS,ZULMIRA CAMPOS PROFESSORA                                   ,SANTOS,EM,0.69,1.59,1.09,1.36,2.15,1.94,1.95
924519,35924519,20206,TAUBATE,BAIRRO VARGEM GRANDE                                        ,NATIVIDADE DA SERRA,EM,,,,,2.7,2.62,2.62
909877,35909877,20103,SAO VICENTE,JOAQUIM LOPES LEAO PASTOR                                   ,SAO VICENTE,EM,0.99,1.16,1.37,1.31,1.51,1.71,1.66
923783,35923783,10403,GUARULHOS NORTE,HERNANI FURINI PROFESSOR                                    ,GUARULHOS,EM,1.29,1.2,0.92,1.65,1.48,1.23,1.87
47260,35047260,20411,PIRASSUNUNGA,MAXIMILIANO BARUTO DOUTOR                                   ,ARARAS,EM,2.1,1.9,2.18,1.33,2.22,1.88,1.68
917312,35917312,20303,BOTUCATU,FRANCISCO GUEDELHA PROF                                     ,BOTUCATU,EM,0.84,1.27,0.75,1.6,1.06,1.35,1.13
908150,35908150,20710,SAO JOSE DO RIO PRETO,WALDEMIRO NAFFAH DOUTOR                                     ,SAO JOSE DO RIO PRETO,EM,1.56,2.55,2.25,1.97,2.22,2.39,2.29
904326,35904326,10316,CENTRO SUL,TANCREDO NEVES PRESIDENTE                                   ,SAO PAULO,EM,1.77,1.58,1.1,1.89,2.25,1.55,1.82
560510,35560510,20308,SOROCABA,JARDIM SANTA BARBARA                                        ,SOROCABA,EM,,,,,1.44,1.55,2.21
45482,35045482,20206,TAUBATE,RUTH SA PROFESSORA                                          ,CACAPAVA,EM,0.97,2.13,1.52,1.91,1.77,2.78,2.12
46681,35046681,20208,CARAGUATATUBA,DULCE CESAR TAVARES PROFESSORA                              ,SAO SEBASTIAO,EM,1.91,1.95,2.43,2.71,3.01,3.05,2.85
446920,35446920,21003,MARILIA,GEOGRAFA EMICO MATSUMOTO,MARILIA,EM,,,1.84,,,,
41798,35041798,10318,SUL 3,ERODICE PONTES DE QUEIROZ REV                               ,SAO PAULO,EM,1.39,1.35,1.26,1.02,1.3,1.62,1.35
924441,35924441,20202,GUARATINGUETA,BAIRRO DO PARAITINGA                                        ,CUNHA,EM,1.63,1.8,2.33,2.46,2.24,3.66,4.3
27534,35027534,20704,JOSE BONIFACIO,JOSE ZANOVELLI                                              ,POLONI,EM,2.66,2.91,2.28,2.39,2,3.58,3.26
35212,35035212,21102,REGISTRO,MARIA DAS DORES VIANA PEREIRA PROFESSORA                    ,ELDORADO,EM,1.47,2.33,1.75,1.82,2.61,2.32,2.6
913418,35913418,10503,ITAQUAQUECETUBA,PAULO EDUARDO OLINTHO REHDER JORNALISTA                     ,POA,EM,1.52,1.95,1.43,1.99,2.63,3.1,3.22
922959,35922959,20401,AMERICANA,SONIA APARECIDA BATAGLIA CARDOSO PROFA                      ,SANTA BARBARA D'OESTE,EM,1.6,1.46,2.09,1.72,1.18,2.34,1.71
48690,35048690,10210,LESTE 2,JOSE RIGHETTO SOBRINHO PROF                                 ,SAO PAULO,EM,0.95,1.13,1.05,0.7,1.16,1.15,1.5
45007,35045007,10503,ITAQUAQUECETUBA,CARMEN NETTO DOS SANTOS PROFESSORA                          ,ITAQUAQUECETUBA,EM,0.78,1.27,1.38,1.51,1.38,1.9,1.34
498452,35498452,20403,BRAGANCA PAULISTA,JULIO CESAR FLORIDO RAFAELI PROFESSOR,ATIBAIA,EM,,,,,,2.31,2.36
904971,35904971,10606,SAO BERNARDO DO CAMPO,MARISTELA VIEIRA PROFESSORA                                 ,SAO BERNARDO DO CAMPO,EM,2,2.24,2.57,1.79,1.44,2.33,2.53
41804,35041804,10318,SUL 3,SAMUEL WAINER                                               ,SAO PAULO,EM,1.21,1.15,1.08,1.41,1.41,2.25,1.55
350588,35350588,20507,RIBEIRAO PRETO,JARDIM DIVA TARLA DE CARVALHO                               ,RIBEIRAO PRETO,EM,1.48,1.27,1.71,1.61,2.17,2.21,1.92
901015,35901015,20601,BAURU,EDISON BASTOS GASPARINI PREF                                ,BAURU,EM,0.6,0.72,0.87,0.99,1.62,1.41,2.2
908137,35908137,20702,FERNANDOPOLIS,JOSE BELUCIO                                                ,FERNANDOPOLIS,EM,2.23,1.8,1.7,2.52,2.32,1.8,1.99
925391,35925391,10210,LESTE 2,REPUBLICA DA GUATEMALA                                      ,SAO PAULO,EM,1.97,1.11,1.54,1.47,1.42,1.82,1.32
37965,35037965,20417,CAMPINAS LESTE,MARIO NATIVIDADE DOUTOR                                     ,CAMPINAS,EM,1.42,1.51,1.66,1.56,1.43,2.64,2.05
901337,35901337,20410,PIRACICABA,FELIPE CARDOSO                                              ,PIRACICABA,EM,1.14,1.75,1.15,1.77,1.65,1.54,0.92
925998,35925998,10318,SUL 3,ADELAIDE ROSA FERNANDES MACHADO DE SOUZA PROFESSORA         ,SAO PAULO,EM,1.43,1.38,1.55,1.2,0.45,1.53,1.68
